Metric,Value
flow__warnings__count:RSZ-0062,1
route__net,24054
route__net__special,2
route__drc_errors__iter:0,11456
route__wirelength__iter:0,1362931
route__drc_errors__iter:1,5058
route__wirelength__iter:1,1354175
route__drc_errors__iter:2,4816
route__wirelength__iter:2,1351580
route__drc_errors__iter:3,239
route__wirelength__iter:3,1347316
route__drc_errors__iter:4,91
route__wirelength__iter:4,1347323
route__drc_errors__iter:5,1
route__wirelength__iter:5,1347237
route__drc_errors__iter:6,1
route__wirelength__iter:6,1347245
route__drc_errors__iter:7,0
route__wirelength__iter:7,1347241
route__drc_errors,0
route__wirelength,1347241
route__vias,204686
route__vias__singlecut,204686
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1369.58
design__instance__count__class:fill_cell,34128
design__instance__area__class:fill_cell,307635
timing__unannotated_net__count__corner:nom_tt_025C_3v30,96
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,96
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,96
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,96
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_3v00,2.99987
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_3v00,2.99998
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_3v00,0.000125221
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_3v00,0.000124065
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_3v00,0.0000162395
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_3v00,0.000124065
design_powergrid__voltage__worst,0.000124065
design_powergrid__voltage__worst__net:VDD,2.99987
design_powergrid__drop__worst,0.000125221
design_powergrid__drop__worst__net:VDD,0.000125221
design_powergrid__voltage__worst__net:VSS,0.000124065
design_powergrid__drop__worst__net:VSS,0.000124065
ir__voltage__worst,3
ir__drop__avg,0.00001669999999999999935017258589908806243329308927059173583984375
ir__drop__worst,0.000125000000000000002602085213965210641617886722087860107421875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
