net,length_um
_07568_,175.46µm
_11237_,175.43µm
net1985,175.43µm
net2979,175.43µm
net3539,175.43µm
net2112,175.42µm
_07593_,175.4µm
net14,175.38µm
net34,175.38µm
net817,175.38µm
net1209,175.38µm
net1328,175.38µm
net1390,175.38µm
net2099,175.38µm
net3212,175.38µm
net3778,175.38µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[2\].mac_inst.product\[12\],175.33µm
net83,175.33µm
net654,175.33µm
net844,175.33µm
net923,175.33µm
net3174,175.33µm
_11296_,175.28µm
net38,175.28µm
net417,175.28µm
net696,175.28µm
net836,175.28µm
net3744,175.28µm
net4371,175.28µm
net4456,175.28µm
_16289_,175.22µm
net604,175.15µm
_12017_,175.14µm
net206,175.03µm
net2585,175.02µm
net4645,175.02µm
net4459,174.97µm
net3109,174.95µm
_14134_,174.92µm
net1104,174.92µm
net3417,174.92µm
net4511,174.92µm
_10875_,174.87µm
net294,174.87µm
net756,174.87µm
net1345,174.87µm
net1546,174.87µm
net1867,174.87µm
net2234,174.87µm
net3353,174.87µm
u_integration_final.integration_inst.command_parser_inst.o_matrix_config,174.82µm
net2802,174.82µm
net3333,174.82µm
net3341,174.82µm
net3413,174.82µm
net1589,174.81µm
_07460_,174.77µm
u_integration_final.integration_inst.quantizer_inst.scaled_data\[33\],174.77µm
net3053,174.77µm
net4172,174.77µm
net4532,174.77µm
net4551,174.77µm
net3286,174.72µm
net4173,174.72µm
net4256,174.72µm
net3808,174.71µm
net946,174.7µm
net139,174.55µm
_01850_,174.52µm
net2518,174.51µm
clknet_leaf_20_i_clk,174.46µm
net855,174.41µm
net4261,174.41µm
_10096_,174.37µm
net331,174.36µm
net1445,174.36µm
net2081,174.36µm
net3578,174.36µm
net3620,174.36µm
net873,174.31µm
net931,174.31µm
net1178,174.31µm
net2061,174.31µm
_13127_,174.28µm
net63,174.26µm
net493,174.26µm
net540,174.26µm
net959,174.26µm
net1314,174.26µm
net2965,174.26µm
net3872,174.26µm
net4434,174.26µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[2\].mac_inst.o_result\[4\],174.21µm
net347,174.21µm
net1156,174.21µm
net3726,174.21µm
net3758,174.21µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[10\]\[2\],174.16µm
net32,174.16µm
net172,174.16µm
net680,174.16µm
net3266,174.16µm
net4634,174.16µm
net189,174.14µm
net2149,174.04µm
_10524_,173.85µm
net278,173.85µm
net2053,173.85µm
net2078,173.8µm
net2192,173.8µm
net2843,173.8µm
net2871,173.8µm
net3285,173.8µm
net3780,173.8µm
_07524_,173.75µm
net830,173.75µm
net837,173.75µm
net1672,173.75µm
net1865,173.75µm
net2677,173.75µm
net3097,173.75µm
net49,173.7µm
net1287,173.7µm
net3643,173.7µm
net3649,173.7µm
net3905,173.7µm
net4267,173.7µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[30\]\[1\],173.65µm
net15,173.65µm
net413,173.65µm
net443,173.65µm
net710,173.65µm
net985,173.65µm
net2657,173.65µm
net3596,173.65µm
net3655,173.65µm
_14819_,173.6µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[19\]\[7\],173.6µm
net295,173.6µm
net647,173.6µm
net793,173.6µm
net3756,173.6µm
_08438_,173.52µm
net748,173.52µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[35\]\[3\],173.44µm
net3857,173.44µm
_01919_,173.34µm
_12895_,173.34µm
net822,173.32µm
net198,173.3µm
net3674,173.29µm
net3917,173.29µm
net4307,173.29µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_scale\[19\],173.24µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[23\]\[5\],173.24µm
net624,173.24µm
net1405,173.24µm
net2189,173.24µm
net4682,173.24µm
net495,173.19µm
net768,173.19µm
net1635,173.19µm
net1809,173.19µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[28\]\[5\],173.14µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[33\]\[5\],173.14µm
net908,173.14µm
net3219,173.14µm
net3715,173.14µm
net4458,173.14µm
_14738_,173.09µm
net217,173.09µm
net355,173.09µm
net671,173.09µm
net1599,173.09µm
net1924,173.09µm
net3453,173.09µm
net3581,173.09µm
net3793,173.09µm
net4335,173.09µm
net4664,173.09µm
_03505_,173.04µm
_10854_,173.04µm
_11719_,173.04µm
net477,173.04µm
net649,173.04µm
net1896,173.04µm
net2747,172.88µm
net4580,172.82µm
_11192_,172.78µm
net1338,172.78µm
net2535,172.78µm
_06833_,172.68µm
net675,172.68µm
net2905,172.68µm
net4633,172.68µm
_11205_,172.63µm
u_integration_final.integration_inst.quantizer_inst.scaled_data\[34\],172.63µm
net422,172.63µm
net2381,172.63µm
net4499,172.63µm
net916,172.62µm
net281,172.58µm
net781,172.58µm
net1738,172.58µm
net2147,172.58µm
net2999,172.58µm
net3166,172.58µm
net3764,172.58µm
net4651,172.58µm
_04498_,172.53µm
net71,172.53µm
net177,172.53µm
net2214,172.53µm
net2834,172.53µm
net3653,172.53µm
net3712,172.53µm
net4475,172.53µm
net4643,172.53µm
net929,172.48µm
net2805,172.48µm
net4690,172.48µm
_07583_,172.42µm
net3465,172.35µm
net4337,172.35µm
net377,172.17µm
net249,172.15µm
net517,172.14µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[2\]\[0\],172.12µm
net1697,172.12µm
net3026,172.12µm
net3142,172.12µm
_07382_,172.07µm
net537,172.07µm
net588,172.07µm
net1197,172.07µm
net2950,172.07µm
net3433,172.07µm
_10944_,172.02µm
net226,172.02µm
net620,172.02µm
net913,172.02µm
net2420,172.02µm
_08297_,171.97µm
_09450_,171.97µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[0\].mac_inst.product\[10\],171.97µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[2\].mac_inst.product\[8\],171.97µm
net456,171.97µm
net474,171.97µm
net1255,171.97µm
net1669,171.97µm
net3742,171.97µm
net3753,171.97µm
_13298_,171.92µm
net3720,171.92µm
net1776,171.79µm
net149,171.72µm
net479,171.71µm
net243,171.66µm
net1185,171.61µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[24\]\[3\],171.56µm
net698,171.56µm
net2693,171.56µm
net2948,171.56µm
net3065,171.56µm
net3288,171.56µm
net4627,171.56µm
net4649,171.56µm
_03866_,171.51µm
net1015,171.51µm
net2003,171.51µm
net4476,171.51µm
net2564,171.5µm
net438,171.46µm
net631,171.46µm
_02555_,171.41µm
net11,171.41µm
net182,171.41µm
net655,171.41µm
net1794,171.41µm
net2550,171.41µm
net2576,171.41µm
net2601,171.41µm
net2944,171.41µm
net3797,171.41µm
net3877,171.41µm
net4363,171.41µm
net16,171.36µm
net865,171.36µm
net3495,171.36µm
net3723,171.36µm
net4617,171.36µm
_10941_,171.28µm
net702,171.15µm
net990,171.11µm
net1119,171.1µm
net2543,171.06µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[23\]\[3\],171.05µm
net1904,171.05µm
net3901,171.05µm
net4077,171.05µm
_10961_,171µm
net1654,171µm
net2284,171µm
net2317,171µm
net2524,171µm
net2976,171µm
net3042,171µm
clknet_leaf_69_i_clk,171µm
net4112,171µm
_10937_,170.95µm
_11043_,170.95µm
net2981,170.95µm
net3738,170.95µm
_07459_,170.9µm
_07502_,170.9µm
_10463_,170.9µm
net872,170.9µm
net1193,170.9µm
net1470,170.9µm
net1543,170.9µm
net4625,170.9µm
u_integration_final.integration_inst.reg_bank_inst.rows_b\[1\],170.86µm
net452,170.85µm
net1031,170.85µm
net1554,170.85µm
net1871,170.85µm
net3754,170.85µm
net283,170.8µm
net565,170.8µm
net809,170.8µm
net918,170.68µm
net1036,170.49µm
_08272_,170.44µm
net888,170.44µm
net1442,170.44µm
net4597,170.44µm
net1058,170.39µm
net1573,170.39µm
net2917,170.39µm
net3223,170.39µm
net3632,170.39µm
_14831_,170.34µm
net2171,170.34µm
net3582,170.34µm
_10177_,170.29µm
net4329,170.29µm
net4411,170.29µm
_04290_,170.24µm
net29,170.24µm
net58,170.24µm
net144,170.24µm
net311,170.24µm
net423,170.24µm
net2492,170.22µm
net2820,170.2µm
net1027,169.93µm
net2348,169.93µm
net2561,169.93µm
net783,169.88µm
net1100,169.88µm
_11147_,169.83µm
net2548,169.83µm
net3828,169.83µm
net4407,169.83µm
_08312_,169.78µm
_13018_,169.78µm
net27,169.78µm
net962,169.78µm
net1412,169.78µm
net1443,169.78µm
net1914,169.78µm
net2714,169.78µm
net3841,169.78µm
net3851,169.78µm
net3929,169.78µm
net4604,169.78µm
net4665,169.78µm
net446,169.73µm
net845,169.73µm
net2533,169.73µm
net3194,169.73µm
net3855,169.73µm
net3928,169.73µm
net4330,169.73µm
net358,169.68µm
net4165,169.68µm
net4611,169.68µm
_17216_,169.39µm
_10973_,169.37µm
net235,169.37µm
net1373,169.37µm
net2026,169.37µm
net2362,169.37µm
net2586,169.37µm
net4262,169.37µm
net4120,169.32µm
net4420,169.32µm
_02046_,169.27µm
net2396,169.27µm
net4494,169.27µm
_16559_,169.26µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[0\].COL_LOOP\[0\].mac_inst.product\[17\],169.26µm
_01823_,169.22µm
_08491_,169.22µm
u_integration_final.integration_inst.reg_bank_inst.current_state\[1\],169.22µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[31\]\[5\],169.22µm
net1742,169.22µm
net2223,169.22µm
net2710,169.22µm
net2768,169.22µm
net2889,169.22µm
net3110,169.22µm
net3252,169.22µm
net4222,169.22µm
net4508,169.22µm
net2708,169.18µm
_08232_,169.17µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[26\]\[4\],169.17µm
net2967,169.17µm
_13183_,169.12µm
net207,169.12µm
net459,169.12µm
net4370,169.12µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[1\].mac_inst.product\[17\],168.91µm
net2101,168.91µm
net1004,168.9µm
net824,168.81µm
net1872,168.76µm
net2549,168.76µm
net3660,168.76µm
net4469,168.76µm
net2205,168.75µm
_10841_,168.71µm
net2002,168.71µm
net3205,168.71µm
_01918_,168.66µm
net965,168.66µm
net1125,168.66µm
net2727,168.66µm
net2829,168.66µm
net3082,168.66µm
net3154,168.66µm
net3563,168.66µm
net4188,168.66µm
net4296,168.66µm
net4577,168.66µm
net4631,168.66µm
_10881_,168.61µm
net190,168.61µm
net3659,168.61µm
_15338_,168.56µm
_16048_,168.56µm
net232,168.56µm
net862,168.47µm
net741,168.33µm
net257,168.25µm
net572,168.25µm
net3145,168.25µm
net3558,168.25µm
net1074,168.2µm
net1231,168.2µm
net1397,168.2µm
net2741,168.2µm
net833,168.15µm
net952,168.1µm
net1657,168.1µm
net3103,168.1µm
net3729,168.1µm
net4245,168.1µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[1\].mac_inst.product\[0\],168.05µm
net253,168.05µm
net1061,168.05µm
net1971,168.05µm
net938,168.03µm
_08010_,168µm
_11145_,168µm
net36,168µm
net1134,168µm
net328,167.97µm
_10217_,167.94µm
net2034,167.94µm
_15625_,167.83µm
_11150_,167.79µm
net3050,167.79µm
net4018,167.79µm
clknet_leaf_48_i_clk,167.79µm
net1557,167.74µm
net4116,167.74µm
net4592,167.69µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[3\]\[5\],167.64µm
net2153,167.64µm
net4483,167.64µm
net153,167.59µm
net594,167.59µm
net2195,167.59µm
net2202,167.59µm
net3557,167.59µm
_11347_,167.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[3\],167.54µm
net2692,167.54µm
net3047,167.54µm
net3741,167.54µm
net4131,167.54µm
_09863_,167.49µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[1\].mac_inst.product\[3\],167.49µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[13\],167.49µm
net387,167.49µm
net1856,167.49µm
net1861,167.49µm
net4507,167.49µm
net592,167.46µm
_08545_,167.44µm
net432,167.44µm
net3721,167.44µm
net3746,167.44µm
net3858,167.44µm
net510,167.21µm
net1840,167.18µm
net239,167.17µm
net429,167.13µm
net967,167.13µm
net500,167.1µm
_13896_,167.08µm
net759,167.08µm
net2762,167.08µm
net1480,167.03µm
net2308,167.03µm
net4383,167.03µm
net4457,167.03µm
net2532,167.02µm
_07497_,166.98µm
_12511_,166.98µm
net834,166.98µm
net3546,166.98µm
net3969,166.98µm
net4101,166.98µm
_12512_,166.93µm
net763,166.93µm
net1797,166.93µm
net4192,166.93µm
_10846_,166.91µm
net138,166.88µm
net2129,166.88µm
net2488,166.82µm
net956,166.62µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[0\].COL_LOOP\[0\].mac_inst.product\[1\],166.57µm
net3027,166.57µm
net4424,166.57µm
_12182_,166.52µm
net3236,166.52µm
net4453,166.52µm
_01942_,166.47µm
_11086_,166.47µm
net2673,166.47µm
net2920,166.47µm
net3537,166.47µm
net4455,166.47µm
_07766_,166.42µm
_16214_,166.42µm
net391,166.42µm
net4509,166.4µm
_03105_,166.37µm
_08270_,166.37µm
_11243_,166.37µm
net1030,166.37µm
net1241,166.37µm
net3845,166.37µm
net4199,166.37µm
net4373,166.37µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[2\].COL_LOOP\[0\].mac_inst.product\[17\],166.36µm
net825,166.32µm
net325,166.26µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[1\]\[7\],166.01µm
net1751,165.97µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[12\]\[5\],165.96µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[14\]\[1\],165.96µm
net794,165.96µm
u_integration_final.integration_inst.command_parser_inst.o_matrix_cols\[1\],165.91µm
net173,165.91µm
net3144,165.91µm
net3875,165.91µm
_07454_,165.86µm
net738,165.86µm
net960,165.86µm
net961,165.86µm
net1335,165.86µm
net1746,165.86µm
net2993,165.86µm
net3296,165.86µm
net3737,165.86µm
_01863_,165.81µm
_12954_,165.81µm
net324,165.81µm
net390,165.81µm
net778,165.81µm
net1815,165.81µm
net1834,165.81µm
net3730,165.81µm
net3961,165.81µm
_08006_,165.76µm
net64,165.76µm
net183,165.76µm
net228,165.76µm
net2544,165.76µm
net3633,165.76µm
net4394,165.71µm
net2592,165.7µm
net3063,165.63µm
_16460_,165.53µm
_14115_,165.45µm
net110,165.45µm
net2856,165.45µm
net2536,165.44µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[10\]\[1\],165.4µm
net4189,165.4µm
net2430,165.39µm
net1229,165.35µm
net2439,165.35µm
net2562,165.35µm
net2642,165.35µm
net3235,165.35µm
_13103_,165.3µm
net393,165.3µm
net418,165.3µm
net912,165.3µm
net1199,165.3µm
net1450,165.3µm
net1465,165.3µm
net1783,165.3µm
net2789,165.3µm
net3102,165.3µm
net4534,165.3µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[13\]\[2\],165.25µm
net2481,165.25µm
net3528,165.25µm
net4147,165.25µm
_00117_,165.2µm
_08237_,165.2µm
_11473_,165.2µm
net1759,165.2µm
net2159,165.2µm
net1631,165.1µm
net1454,165.01µm
_11127_,164.99µm
net255,164.89µm
_11156_,164.84µm
net796,164.84µm
net894,164.84µm
net3832,164.84µm
net4252,164.84µm
_07476_,164.79µm
_11211_,164.79µm
net1157,164.79µm
net1510,164.79µm
net2397,164.79µm
net3572,164.79µm
net3719,164.79µm
net160,164.74µm
net1167,164.74µm
net2310,164.74µm
net2421,164.74µm
net2726,164.74µm
net2937,164.74µm
net3233,164.74µm
_07590_,164.69µm
_11436_,164.69µm
net368,164.69µm
net525,164.69µm
net2897,164.69µm
net2900,164.69µm
net3732,164.69µm
net4515,164.69µm
_03685_,164.64µm
net503,164.64µm
net2707,164.57µm
_01890_,164.51µm
net4234,164.38µm
net1687,164.33µm
net259,164.28µm
net343,164.28µm
net363,164.28µm
net1916,164.28µm
net2046,164.28µm
net2904,164.28µm
net3039,164.28µm
net373,164.24µm
_01957_,164.23µm
_07993_,164.23µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[3\]\[4\],164.23µm
net1623,164.23µm
net1788,164.23µm
net3127,164.23µm
_16362_,164.18µm
net555,164.18µm
net2139,164.18µm
net2832,164.18µm
net3004,164.18µm
net4322,164.18µm
_03529_,164.13µm
_08542_,164.13µm
net124,164.13µm
net498,164.13µm
net1327,164.13µm
net4520,164.13µm
_13210_,164.12µm
net648,164.08µm
net4566,164.08µm
net4246,164µm
net979,163.82µm
_02612_,163.77µm
net4074,163.74µm
_11102_,163.72µm
_11118_,163.72µm
net301,163.72µm
net1894,163.67µm
net1948,163.67µm
net2105,163.67µm
_08374_,163.62µm
net1951,163.62µm
net2655,163.62µm
net2951,163.62µm
net3217,163.62µm
net3461,163.62µm
net4558,163.62µm
_01906_,163.57µm
_08285_,163.57µm
u_integration_final.integration_inst.command_parser_inst.o_clamp_max\[1\],163.57µm
net486,163.57µm
net909,163.57µm
net1176,163.57µm
net2042,163.57µm
net3268,163.57µm
net3428,163.57µm
net3567,163.54µm
_12860_,163.52µm
_13292_,163.52µm
net3362,163.52µm
net4598,163.52µm
net4616,163.52µm
net514,163.48µm
net678,163.31µm
net2933,163.26µm
net3595,163.26µm
net975,163.21µm
net995,163.21µm
net1689,163.21µm
net2055,163.21µm
net575,163.18µm
net2702,163.17µm
_10956_,163.16µm
net237,163.16µm
net4103,163.16µm
net4553,163.16µm
_09559_,163.11µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[11\]\[1\],163.11µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[8\]\[5\],163.11µm
net1996,163.11µm
net2173,163.11µm
net3243,163.11µm
net3505,163.11µm
net3931,163.11µm
_06794_,163.06µm
net2065,163.06µm
net3518,163.06µm
net4025,163.06µm
_00149_,163.01µm
net28,163.01µm
net2529,163.01µm
net3607,163.01µm
net3930,163.01µm
net3401,162.97µm
net449,162.96µm
net3040,162.96µm
net4354,162.87µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[11\]\[5\],162.65µm
net1161,162.6µm
net4568,162.6µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[32\]\[2\],162.55µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[4\]\[6\],162.55µm
net274,162.55µm
net2640,162.55µm
net2694,162.55µm
net3013,162.55µm
net3873,162.55µm
net4347,162.55µm
net4437,162.55µm
net4575,162.55µm
net3507,162.52µm
net744,162.5µm
net1018,162.5µm
net2814,162.5µm
net3403,162.5µm
net3745,162.5µm
_09300_,162.45µm
net385,162.45µm
net1949,162.45µm
net2644,162.45µm
net2874,162.42µm
_00116_,162.4µm
_03439_,162.4µm
_03753_,162.4µm
_14602_,162.4µm
net2166,162.4µm
net4334,162.4µm
_10402_,162.26µm
net4071,162.19µm
net991,162.18µm
_13923_,162.14µm
net3332,162.14µm
net1711,162.09µm
net3014,162.04µm
net4677,162.04µm
_11094_,161.99µm
_14027_,161.99µm
net287,161.99µm
net2927,161.99µm
net3276,161.99µm
net4291,161.99µm
net4552,161.99µm
_10960_,161.94µm
net1091,161.94µm
net3129,161.94µm
net3146,161.94µm
net3402,161.94µm
net3912,161.94µm
net1638,161.9µm
_03122_,161.89µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_scale\[14\],161.89µm
net145,161.89µm
_02042_,161.84µm
net4403,161.68µm
_09361_,161.59µm
_08051_,161.53µm
_11130_,161.53µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[19\]\[5\],161.53µm
net1698,161.53µm
net2984,161.53µm
_07516_,161.48µm
_11231_,161.48µm
_12412_,161.48µm
_16456_,161.48µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[12\]\[4\],161.48µm
net2895,161.48µm
_14020_,161.43µm
net1466,161.43µm
net3569,161.43µm
net3647,161.43µm
_08094_,161.38µm
net298,161.38µm
net1944,161.38µm
net3113,161.38µm
net4158,161.38µm
net4535,161.38µm
net977,161.33µm
net1261,161.33µm
net1740,161.33µm
net2169,161.33µm
net2662,161.33µm
net3068,161.33µm
net3437,161.33µm
_00120_,161.28µm
u_integration_final.integration_inst.command_parser_inst.o_clamp_max\[3\],161.28µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[0\].COL_LOOP\[0\].mac_inst.product\[7\],161.28µm
net1580,161.28µm
net244,161.25µm
net534,161.12µm
net3641,161.03µm
net3024,161.02µm
net2739,160.97µm
net3487,160.97µm
_10837_,160.94µm
_07995_,160.92µm
_10833_,160.92µm
_02637_,160.87µm
_07507_,160.87µm
_10843_,160.87µm
u_integration_final.uart_inst.baudClk,160.87µm
net591,160.87µm
net840,160.87µm
net3590,160.87µm
net993,160.85µm
_07392_,160.82µm
_08510_,160.82µm
net760,160.82µm
net1898,160.82µm
net2154,160.82µm
net2810,160.82µm
net4670,160.82µm
net2297,160.81µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[4\],160.77µm
net61,160.77µm
net1708,160.77µm
net2860,160.77µm
net4079,160.72µm
_09076_,160.36µm
_16258_,160.36µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[22\]\[0\],160.36µm
net1538,160.36µm
net2919,160.36µm
net4174,160.36µm
net1037,160.35µm
_14078_,160.31µm
net546,160.31µm
net1101,160.31µm
net2584,160.31µm
net4058,160.31µm
net4340,160.31µm
_02059_,160.26µm
_10871_,160.26µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[0\].mac_inst.product\[12\],160.26µm
net1414,160.26µm
net3159,160.26µm
_08295_,160.21µm
_10857_,160.21µm
_11098_,160.21µm
_17231_,160.21µm
net932,160.21µm
net2394,160.21µm
net2873,160.21µm
net3200,160.21µm
_01835_,160.16µm
_04164_,160.16µm
_08283_,160.16µm
net7,160.16µm
net118,159.85µm
net3073,159.85µm
_12224_,159.8µm
net2140,159.8µm
net4451,159.8µm
net4489,159.8µm
_01958_,159.75µm
net251,159.75µm
net1343,159.75µm
net1771,159.75µm
net3046,159.75µm
net4594,159.75µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[22\]\[6\],159.7µm
net1726,159.7µm
net3261,159.7µm
net4150,159.7µm
net4221,159.7µm
_03273_,159.65µm
_08032_,159.65µm
net353,159.65µm
net1955,159.65µm
net2211,159.65µm
net3449,159.65µm
_08136_,159.6µm
_10984_,159.6µm
net582,159.57µm
net2241,159.54µm
net2597,159.49µm
_03288_,159.47µm
net1710,159.39µm
_02468_,159.36µm
_01905_,159.34µm
net2915,159.29µm
net219,159.19µm
net2996,159.19µm
net3776,159.19µm
net532,159.17µm
net898,159.14µm
net2784,159.14µm
net4591,159.14µm
net3561,159.12µm
_11141_,159.09µm
_13085_,159.09µm
net645,159.09µm
net757,159.09µm
_12019_,159.04µm
net2339,159.04µm
net3525,159.04µm
_13051_,158.98µm
net4607,158.98µm
net380,158.97µm
net1032,158.9µm
net1984,158.86µm
_08535_,158.79µm
net1150,158.73µm
net1522,158.73µm
_01947_,158.68µm
net1180,158.68µm
net1424,158.68µm
net3474,158.68µm
_01913_,158.63µm
net3831,158.63µm
_10852_,158.58µm
net899,158.58µm
net1325,158.58µm
net3681,158.58µm
_08228_,158.53µm
_08395_,158.53µm
net1768,158.53µm
net3292,158.53µm
net3351,158.53µm
net3648,158.53µm
net986,158.48µm
net1174,158.48µm
net3768,158.48µm
_11190_,158.35µm
_08457_,158.27µm
net2654,158.26µm
net2092,158.22µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[21\]\[2\],158.12µm
net3161,158.07µm
net3163,158.07µm
net4595,158.07µm
net3114,158.03µm
_11373_,158.02µm
net1355,158.02µm
net1655,158.02µm
net1735,158.02µm
net4095,158.02µm
_08063_,157.97µm
_10528_,157.97µm
_13276_,157.97µm
u_integration_final.integration_inst.quantizer_inst.scaled_data\[28\],157.97µm
net2217,157.97µm
net3149,157.97µm
net3313,157.97µm
net4537,157.97µm
net1449,157.94µm
_03380_,157.92µm
_11101_,157.92µm
net3320,157.92µm
net2144,157.84µm
u_integration_final.integration_inst.reg_bank_inst.current_state\[0\],157.76µm
net609,157.56µm
net2859,157.56µm
_08507_,157.51µm
_11546_,157.51µm
net1581,157.51µm
net2628,157.51µm
net2886,157.51µm
net3098,157.51µm
net3377,157.51µm
net4271,157.51µm
net2699,157.46µm
_10225_,157.42µm
_08508_,157.41µm
net51,157.41µm
net905,157.41µm
net3315,157.41µm
_00119_,157.36µm
_04493_,157.36µm
_11168_,157.36µm
_16375_,157.36µm
net810,157.36µm
net2162,157.36µm
net2491,157.36µm
net3740,157.36µm
net3256,157.24µm
net3165,157.13µm
net3894,157.05µm
_03126_,157.03µm
_14281_,157µm
_12184_,156.95µm
net4444,156.95µm
_01901_,156.92µm
_02227_,156.9µm
_10861_,156.9µm
_11233_,156.9µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[16\]\[2\],156.9µm
net560,156.9µm
net2772,156.85µm
net3769,156.85µm
net819,156.8µm
net4654,156.8µm
_11183_,156.72µm
net2096,156.59µm
_01900_,156.54µm
net1115,156.49µm
_10882_,156.44µm
net3081,156.44µm
_02592_,156.39µm
net435,156.39µm
net1660,156.39µm
net1841,156.39µm
net4372,156.39µm
_10238_,156.34µm
net1741,156.34µm
net2388,156.34µm
net2942,156.34µm
net3615,156.34µm
_14778_,156.29µm
net1670,156.29µm
net2656,156.29µm
net3209,156.29µm
_10216_,156.26µm
_07526_,156.03µm
net2263,156.03µm
net2016,155.98µm
net3542,155.93µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[17\]\[6\],155.88µm
net56,155.88µm
net769,155.88µm
net1663,155.88µm
net2236,155.83µm
net2275,155.83µm
_09551_,155.81µm
_08085_,155.78µm
net1151,155.78µm
net1276,155.78µm
net2116,155.78µm
net2545,155.78µm
net3079,155.78µm
net3843,155.78µm
net4523,155.78µm
u_integration_final.integration_inst.quant_op_data\[2\],155.73µm
net1072,155.73µm
net3314,155.73µm
_10758_,155.55µm
net1208,155.55µm
net409,155.38µm
clknet_leaf_98_i_clk,155.37µm
net3576,155.32µm
net1633,155.27µm
net2230,155.27µm
net2632,155.27µm
_08123_,155.22µm
net461,155.22µm
net1748,155.22µm
net4243,155.22µm
_11490_,155.17µm
net214,155.17µm
net816,155.17µm
net2143,155.17µm
net2957,155.17µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[24\]\[7\],155.12µm
net485,155.12µm
net1351,155.12µm
net3704,155.12µm
net2462,154.91µm
net3100,154.86µm
net1792,154.81µm
net3019,154.81µm
net4144,154.78µm
_10942_,154.76µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[17\]\[1\],154.76µm
net4063,154.76µm
_01843_,154.71µm
net1127,154.71µm
net1764,154.71µm
net2256,154.71µm
net3017,154.71µm
net4159,154.71µm
_08035_,154.66µm
_13268_,154.66µm
net246,154.66µm
net954,154.66µm
net3091,154.66µm
net4185,154.66µm
_01994_,154.61µm
_16053_,154.61µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[0\].COL_LOOP\[0\].mac_inst.product\[15\],154.61µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[29\]\[4\],154.61µm
net3385,154.61µm
net3635,154.61µm
net3840,154.61µm
_00121_,154.56µm
_08012_,154.56µm
_15469_,154.56µm
