net,length_um
net1667,250.01µm
net2690,250.01µm
net2329,249.81µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[24\]\[6\],249.55µm
net4644,249.5µm
net1974,249.45µm
net1464,249.42µm
net729,249.09µm
net2458,248.94µm
clknet_2_0_0_i_clk,248.61µm
net1493,248.28µm
net2780,248.07µm
clknet_leaf_43_i_clk,247.92µm
net4652,247.52µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[26\]\[2\],247.31µm
net2001,247.31µm
net882,247.11µm
net2591,246.95µm
net3991,246.95µm
clknet_leaf_31_i_clk,246.8µm
clknet_leaf_6_i_clk,246.75µm
net4240,246.65µm
_06441_,246.6µm
net2107,246.6µm
net4170,246.55µm
net4013,246.29µm
clknet_leaf_92_i_clk,246.29µm
net1507,246.19µm
net2180,246.14µm
_13892_,246.04µm
net2691,246.04µm
net4212,246.04µm
clknet_leaf_24_i_clk,245.78µm
net2245,245.68µm
net3650,245.56µm
net2572,245.48µm
net2755,245.3µm
net2603,245.12µm
net754,245.07µm
net752,245.02µm
net1836,245.02µm
net4427,244.82µm
net1585,244.79µm
net1310,244.46µm
net4390,244.46µm
net2674,244.41µm
net2082,244.31µm
net3186,244.31µm
net723,244.26µm
net2590,244.1µm
net1723,243.95µm
net3486,243.88µm
clknet_leaf_75_i_clk,243.85µm
net1290,243.8µm
clknet_leaf_46_i_clk,243.39µm
_11232_,243.36µm
net4582,243.29µm
net4362,243.14µm
net2133,242.78µm
net3397,242.34µm
net2617,242.32µm
_08022_,242.22µm
net1476,241.97µm
net891,241.89µm
net3392,241.79µm
clknet_leaf_2_i_clk,241.66µm
net1376,241.61µm
net2786,241.61µm
net2280,241.51µm
net596,241.3µm
net1436,241.15µm
net379,241.1µm
net4224,241µm
net3434,240.95µm
net4066,240.95µm
clknet_leaf_59_i_clk,240.59µm
net679,240.39µm
net2844,240.29µm
net4055,240.29µm
net1473,240.13µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[0\]\[5\],239.93µm
net313,239.93µm
net2222,239.52µm
clknet_leaf_29_i_clk,239.52µm
net2033,239.42µm
_11413_,239.17µm
net2624,239.11µm
_12413_,239.01µm
net1651,239.01µm
net3816,239.01µm
net2596,238.96µm
net2992,238.81µm
_08423_,238.76µm
net4022,238.71µm
net2444,238.5µm
clknet_leaf_42_i_clk,238.3µm
net4227,238.25µm
net4650,238.25µm
net3903,238.2µm
_01838_,238.15µm
net1959,238.1µm
net2890,238.06µm
net3880,238.05µm
net2170,237.84µm
_09675_,237.79µm
net2025,237.79µm
_07354_,237.74µm
net4380,237.74µm
net4235,237.69µm
net1789,237.59µm
_16317_,237.49µm
net2281,237.23µm
clknet_leaf_49_i_clk,237.18µm
_11112_,237.03µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[27\]\[7\],237.03µm
net2869,237.03µm
net3959,236.67µm
net2312,236.57µm
net1946,236.52µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[34\]\[6\],236.47µm
_16354_,236.32µm
net2858,236.11µm
_08048_,236.01µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[11\]\[2\],236.01µm
net4656,236.01µm
_08033_,235.96µm
net2287,235.55µm
net1566,235.5µm
net4318,235.45µm
net1747,235.4µm
_08045_,235.25µm
_01812_,235.24µm
net4254,235.24µm
net1800,235.17µm
net2157,235.09µm
_10910_,235.08µm
net1388,235.04µm
net1159,234.94µm
net1932,234.94µm
_11160_,234.89µm
net1481,234.89µm
net3924,234.89µm
net1937,234.84µm
net4382,234.53µm
net3208,234.49µm
net684,234.48µm
net4132,234.43µm
net2686,234.38µm
net3686,234.28µm
net4618,234.28µm
net197,234.23µm
net2017,234.23µm
_01804_,234.14µm
net1391,234.02µm
net3932,233.87µm
net1384,233.77µm
net1864,233.77µm
net4002,233.72µm
_08425_,233.69µm
net1564,233.67µm
net1260,233.62µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[28\]\[6\],233.61µm
net2519,233.56µm
net1503,233.41µm
net1561,233.31µm
net1471,233.16µm
net1879,233.16µm
net2085,233.16µm
net1892,233.06µm
net665,232.75µm
net2451,232.65µm
net3374,232.6µm
net1553,232.55µm
net2083,232.55µm
net2378,232.55µm
net2040,232.5µm
_10844_,232.45µm
net2274,232.34µm
net1117,232.04µm
net4270,232.04µm
net1567,231.99µm
net939,231.94µm
net2625,231.78µm
net2098,231.58µm
net3947,231.58µm
net3605,231.53µm
net2182,231.5µm
net4272,231.48µm
net1462,231.38µm
net4393,231.06µm
net282,230.87µm
clknet_leaf_5_i_clk,230.87µm
clknet_2_3_0_i_clk,230.87µm
net1300,230.46µm
net4015,230.36µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[14\]\[0\],230.31µm
net1733,230.26µm
net1993,230.18µm
net3419,230.09µm
net606,230µm
net638,230µm
clknet_leaf_54_i_clk,230µm
net2627,229.95µm
clknet_leaf_95_i_clk,229.95µm
net4067,229.9µm
net1645,229.85µm
net4599,229.85µm
_13900_,229.8µm
net3933,229.8µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[32\]\[7\],229.7µm
net4387,229.65µm
net1549,229.34µm
net1297,229.24µm
net3995,229.24µm
net2286,229.19µm
net3099,229.09µm
net673,228.88µm
clknet_leaf_85_i_clk,228.88µm
clknet_leaf_66_i_clk,228.83µm
net4011,228.68µm
_10974_,228.63µm
u_integration_final.integration_inst.command_parser_inst.o_clamp_max\[5\],228.48µm
net4377,228.48µm
net3824,228.45µm
net3833,228.27µm
net639,228.17µm
net1989,228.17µm
net2037,228.17µm
net2608,228.17µm
net179,228.12µm
net1349,228.12µm
net1586,227.84µm
net1069,227.71µm
net1452,227.61µm
net1534,227.61µm
net4202,227.61µm
net697,227.56µm
net2278,227.56µm
net2368,227.56µm
net2658,227.56µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[4\]\[3\],227.46µm
clknet_2_2_0_i_clk,227.41µm
clknet_leaf_25_i_clk,227.2µm
clknet_leaf_70_i_clk,227.2µm
net1319,227µm
net4316,227µm
net1132,226.95µm
net4275,226.95µm
net2191,226.85µm
net2035,226.84µm
net4658,226.67µm
net3964,226.63µm
net3876,226.49µm
net1514,226.44µm
net4587,226.44µm
net2177,226.39µm
net2484,226.39µm
net2867,226.39µm
net3935,226.39µm
net3811,226.34µm
net976,226.08µm
net1902,226.08µm
net3774,226.08µm
net2621,225.93µm
net3967,225.88µm
net104,225.78µm
net1221,225.78µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[4\]\[1\],225.55µm
net155,225.52µm
net4001,225.47µm
net4091,225.47µm
net1420,225.42µm
net2252,225.37µm
_14613_,225.32µm
clknet_leaf_58_i_clk,224.91µm
net4294,224.81µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[28\]\[2\],224.76µm
net4505,224.76µm
net4630,224.66µm
net3406,224.58µm
net4388,224.4µm
net1298,224.38µm
_07471_,224.35µm
net1467,224.35µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_scale\[21\],224.3µm
net3634,224.25µm
net1570,224.15µm
net3904,224.15µm
net3037,224.1µm
net2665,224.05µm
net3140,223.89µm
_12395_,223.79µm
net3571,223.79µm
net4228,223.79µm
net3915,223.69µm
net3054,223.64µm
net289,223.59µm
net1908,223.59µm
net3678,223.59µm
net3696,223.59µm
net4636,223.59µm
net641,223.54µm
net3275,223.49µm
net4482,223.49µm
clknet_leaf_19_i_clk,223.43µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[27\]\[2\],223.28µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[25\]\[2\],223.18µm
net4389,223.18µm
net4696,223.18µm
net2176,222.98µm
net2224,222.98µm
net2574,222.98µm
net4282,222.98µm
net900,222.88µm
net3919,222.88µm
net1939,222.62µm
clknet_leaf_38_i_clk,222.57µm
net2501,222.56µm
net4163,222.52µm
net2414,222.33µm
net1544,222.11µm
net1873,222.11µm
net4601,222.11µm
net978,222.06µm
net3257,222.06µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_scale\[0\],221.96µm
net3473,221.95µm
net1721,221.91µm
net2818,221.86µm
clknet_leaf_26_i_clk,221.7µm
_10949_,221.5µm
net4203,221.5µm
net4512,221.5µm
net1212,221.45µm
net2744,221.45µm
_01807_,221.4µm
net3966,221.4µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[23\]\[1\],221.35µm
net621,221.35µm
clknet_leaf_52_i_clk,221.27µm
net2021,221.09µm
net4445,221.09µm
net2995,221.07µm
_07486_,220.99µm
net1444,220.99µm
net4297,220.99µm
net700,220.89µm
_11167_,220.79µm
net4554,220.79µm
net1108,220.69µm
net1778,220.48µm
net2830,220.48µm
net728,220.38µm
net3379,220.38µm
net1289,220.37µm
net1330,220.33µm
net3934,220.33µm
net1796,220.23µm
net3302,220.13µm
net4201,219.82µm
net215,219.77µm
net742,219.77µm
net1407,219.77µm
net3979,219.77µm
net1520,219.72µm
net4105,219.72µm
u_integration_final.integration_inst.reg_bank_inst.matrix_sel_b\[1\],219.68µm
net716,219.67µm
net4286,219.67µm
net3638,219.62µm
net4530,219.6µm
net1878,219.31µm
net1998,219.31µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[28\]\[1\],219.26µm
_01816_,219.21µm
net1012,219.21µm
net803,219.16µm
net3327,219.11µm
net1901,218.75µm
net3992,218.7µm
net4273,218.7µm
net2090,218.65µm
net4391,218.65µm
net1461,218.6µm
net1755,218.55µm
net992,218.45µm
net1353,218.34µm
_01841_,218.28µm
net2103,218.24µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[27\]\[3\],218.19µm
net2093,218.19µm
net4236,218.04µm
net2619,217.99µm
net448,217.94µm
net1017,217.94µm
net1098,217.94µm
net3512,217.9µm
net1217,217.73µm
net4099,217.73µm
net3885,217.63µm
net4223,217.63µm
net4253,217.63µm
net1992,217.58µm
net2901,217.53µm
net4285,217.53µm
net4687,217.53µm
net2685,217.48µm
net4653,217.48µm
_08515_,217.43µm
clknet_leaf_39_i_clk,217.43µm
net4076,217.43µm
net4629,217.43µm
net3352,217.38µm
net1881,217.22µm
net2616,217.17µm
clknet_leaf_4_i_clk,217.17µm
net4197,217.09µm
_09670_,217.07µm
_11046_,217.07µm
net2687,217.07µm
net2007,217.05µm
net3259,217.03µm
clknet_leaf_34_i_clk,216.97µm
net4504,216.97µm
net2823,216.92µm
net2183,216.87µm
net3850,216.87µm
_09673_,216.82µm
net1646,216.82µm
net4628,216.82µm
net701,216.77µm
clknet_leaf_55_i_clk,216.66µm
clknet_leaf_79_i_clk,216.61µm
net4586,216.57µm
net4107,216.56µm
net4589,216.36µm
net2613,216.29µm
net4139,216.21µm
net2966,216.13µm
net1839,215.95µm
net2115,215.9µm
_07915_,215.8µm
net1906,215.8µm
net2752,215.8µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[24\]\[5\],215.75µm
net141,215.75µm
net2239,215.75µm
net2456,215.75µm
net3665,215.75µm
net2440,215.7µm
net708,215.65µm
net4306,215.39µm
net1347,215.24µm
net4662,215.24µm
net4326,215.19µm
_11037_,215.14µm
net2630,214.96µm
net3777,214.93µm
net784,214.91µm
net2018,214.88µm
net2036,214.88µm
net3807,214.83µm
net431,214.78µm
net3206,214.78µm
net4339,214.73µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_scale\[10\],214.68µm
net1332,214.68µm
net1519,214.68µm
net4581,214.68µm
net4689,214.68µm
net1277,214.61µm
net488,214.58µm
net2136,214.58µm
_11116_,214.54µm
net4549,214.53µm
net4300,214.42µm
net1360,214.4µm
net1394,214.32µm
_01844_,214.17µm
net3980,214.17µm
net4108,214.17µm
net3523,214.11µm
u_integration_final.integration_inst.quantizer_inst.added_data\[47\],214.07µm
net2212,214.02µm
