Metric,Value
route__wirelength__iter:0,1377512
route__drc_errors__iter:1,4819
route__wirelength__iter:1,1367427
route__drc_errors__iter:2,4816
route__wirelength__iter:2,1365502
route__drc_errors__iter:3,254
route__wirelength__iter:3,1361823
route__drc_errors__iter:4,6
route__wirelength__iter:4,1361542
route__drc_errors__iter:5,0
route__wirelength__iter:5,1361529
route__drc_errors,0
route__wirelength,1361529
route__vias,208925
route__vias__singlecut,208925
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1406.29
design__instance__count__class:fill_cell,32102
design__instance__area__class:fill_cell,285929
timing__unannotated_net__count__corner:nom_tt_025C_3v30,88
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,88
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,88
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,88
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_3v00,2.99986
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_3v00,2.99998
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_3v00,0.000140487
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_3v00,0.000132113
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_3v00,0.0000190685
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_3v00,0.000132113
design_powergrid__voltage__worst,0.000132113
design_powergrid__voltage__worst__net:VDD,2.99986
design_powergrid__drop__worst,0.000140487
design_powergrid__drop__worst__net:VDD,0.000140487
design_powergrid__voltage__worst__net:VSS,0.000132113
design_powergrid__drop__worst__net:VSS,0.000132113
ir__voltage__worst,3
ir__drop__avg,0.000019499999999999999646983772638719756287173368036746978759765625
ir__drop__worst,0.0001399999999999999877355050248439738425076939165592193603515625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
