Metric,Value
route__wirelength__iter:2,1265449
route__drc_errors__iter:3,144
route__wirelength__iter:3,1265405
route__drc_errors__iter:4,5
route__wirelength__iter:4,1265414
route__drc_errors__iter:5,2
route__wirelength__iter:5,1265429
route__drc_errors__iter:6,2
route__wirelength__iter:6,1265429
route__drc_errors__iter:7,2
route__wirelength__iter:7,1265429
route__drc_errors__iter:10,2
route__wirelength__iter:10,1265429
route__drc_errors__iter:11,2
route__wirelength__iter:11,1265429
route__drc_errors__iter:15,2
route__wirelength__iter:15,1265429
route__drc_errors__iter:16,2
route__wirelength__iter:16,1265429
route__drc_errors__iter:17,4
route__wirelength__iter:17,1265429
route__drc_errors__iter:18,2
route__wirelength__iter:18,1265429
route__drc_errors__iter:19,2
route__wirelength__iter:19,1265427
route__drc_errors__iter:20,2
route__wirelength__iter:20,1265427
route__drc_errors__iter:21,1
route__wirelength__iter:21,1265428
route__drc_errors__iter:22,1
route__wirelength__iter:22,1265428
route__drc_errors__iter:23,1
route__wirelength__iter:23,1265428
route__drc_errors__iter:24,1
route__wirelength__iter:24,1265428
route__drc_errors__iter:25,2
route__wirelength__iter:25,1265433
route__drc_errors__iter:26,2
route__wirelength__iter:26,1265433
route__drc_errors__iter:27,4
route__wirelength__iter:27,1265429
route__drc_errors__iter:28,1
route__wirelength__iter:28,1265429
route__drc_errors__iter:29,0
route__wirelength__iter:29,1265429
route__drc_errors,0
route__wirelength,1265429
route__vias,160083
route__vias__singlecut,160083
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1173.8
design__instance__count__class:fill_cell,40846
design__instance__area__class:fill_cell,542197
timing__unannotated_net__count__corner:nom_tt_025C_3v30,90
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,90
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,90
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,90
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29993
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29998
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.0000722073
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000651353
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.0000238421
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000651353
design_powergrid__voltage__worst,0.0000651353
design_powergrid__voltage__worst__net:VDD,3.29993
design_powergrid__drop__worst,0.0000722073
design_powergrid__drop__worst__net:VDD,0.0000722073
design_powergrid__voltage__worst__net:VSS,0.0000651353
design_powergrid__drop__worst__net:VSS,0.0000651353
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0000241999999999999986931460693728723754247766919434070587158203125
ir__drop__worst,0.000072200000000000006685450804067016861154115758836269378662109375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
