Metric,Value
route__wirelength__iter:1,1319472
route__drc_errors__iter:2,5326
route__wirelength__iter:2,1316865
route__drc_errors__iter:3,373
route__wirelength__iter:3,1316671
route__drc_errors__iter:4,47
route__wirelength__iter:4,1316774
route__drc_errors__iter:5,8
route__wirelength__iter:5,1316810
route__drc_errors__iter:6,8
route__wirelength__iter:6,1316812
route__drc_errors__iter:7,2
route__wirelength__iter:7,1316877
route__drc_errors__iter:8,2
route__wirelength__iter:8,1316877
route__drc_errors__iter:9,2
route__wirelength__iter:9,1316879
route__drc_errors__iter:10,2
route__wirelength__iter:10,1316878
route__drc_errors__iter:11,2
route__wirelength__iter:11,1316873
route__drc_errors__iter:15,2
route__wirelength__iter:15,1316873
route__drc_errors__iter:16,2
route__wirelength__iter:16,1316874
route__drc_errors__iter:17,5
route__wirelength__iter:17,1316873
route__drc_errors__iter:18,5
route__wirelength__iter:18,1316873
route__drc_errors__iter:19,2
route__wirelength__iter:19,1316874
route__drc_errors__iter:20,2
route__wirelength__iter:20,1316873
route__drc_errors__iter:21,1
route__wirelength__iter:21,1316873
route__drc_errors__iter:22,1
route__wirelength__iter:22,1316873
route__drc_errors__iter:23,1
route__wirelength__iter:23,1316873
route__drc_errors__iter:24,1
route__wirelength__iter:24,1316873
route__drc_errors__iter:25,2
route__wirelength__iter:25,1316873
route__drc_errors__iter:26,2
route__wirelength__iter:26,1316873
route__drc_errors__iter:27,0
route__wirelength__iter:27,1316872
route__drc_errors,0
route__wirelength,1316872
route__vias,204332
route__vias__singlecut,204332
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1174.4
design__instance__count__class:fill_cell,27199
design__instance__area__class:fill_cell,216831
timing__unannotated_net__count__corner:nom_tt_025C_3v30,84
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,84
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,84
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,84
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29997
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.3
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.0000306765
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000293083
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.00000196253
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000293083
design_powergrid__voltage__worst,0.0000293083
design_powergrid__voltage__worst__net:VDD,3.29997
design_powergrid__drop__worst,0.0000306765
design_powergrid__drop__worst__net:VDD,0.0000306765
design_powergrid__voltage__worst__net:VSS,0.0000293083
design_powergrid__drop__worst__net:VSS,0.0000293083
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00000206000000000000018206681821897330308956952649168670177459716796875
ir__drop__worst,0.000030700000000000000834228519597246531702694483101367950439453125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
